Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
851,14.720916089494,13318.8166862515,12923.1175088132,7,39,104,179
668,13.042423209535,17774.1586826347,8630.70209580838,3,10,44,179
810,14.3619220944516,21342.1024691358,33512.6283950617,5,28,49,178
652,12.8852798430405,17002.3650306748,8858.47392638037,7,40,104,178
671,13.0716772796554,17377.0730253353,8213.69001490313,8,25,70,178
582,12.1739510023317,21503.8883161512,33745.0927835052,3,18,61,177
465,10.8816946134492,21515.3505376344,33596.6666666667,7,22,56,177
1239,17.7625662331031,12286.615819209,13394.8474576271,7,30,76,177
748,13.8013273235722,16876.7299465241,8672.97593582888,7,29,95,177
4937,35.4569700689653,17269.5647154142,9025.2932955236,4,26,84,177
714,13.4840130149812,17333.5588235294,8210.38095238095,9,23,71,177
691,13.2650557888913,17340.7091172214,9035.92185238784,6,21,84,177
556,11.8989174875091,17401.0035971223,9029.18525179856,6,21,75,177
497,11.2498893659749,17411,8223,8,27,66,177
1211,17.5607123356331,17453.4764657308,9027.38398018167,3,22,70,177
657,12.9345922308436,12214.9284627093,13312.7838660578,6,22,60,176
752,13.8381800656072,12244.2114361702,13358.8031914894,7,28,65,176
567,12.0160461206242,16985.9858906526,8885.51499118166,8,39,96,176
790,14.1835061979807,17024.4582278481,8896.39240506329,8,39,101,176
580,12.153015559493,17152.3965517241,9000.83448275862,5,29,90,176
1809,21.4629463794042,21196.4847982311,33572.2797125484,4,16,52,175
823,14.4767133377507,21305.5188335358,33510.0097205346,6,29,49,175
1256,17.8840088804908,21329.1154458599,33457.3606687898,6,24,44,175
679,13.149369953539,21409.0162002946,33466.5670103093,6,25,46,175
683,13.1880446545659,21572.2005856515,33716.9677891655,3,24,55,175
1146,17.0829301834697,13353.1151832461,12955.9554973822,9,43,107,175
670,13.0619332028039,16872.0597014925,8622.58656716418,6,28,93,175
632,12.6861136071897,16874.9778481013,8439.06962025317,3,22,61,175
3904,31.530071939804,17771.8468237705,8520.46977459016,1,10,37,175
745,13.7736230587866,21280.4268456376,33543.0402684564,4,27,50,174
607,12.4326698955152,21460.0131795717,33487.413509061,7,24,46,174
315,8.95623198216277,21470.4634920635,33795.8031746032,4,19,65,174
815,14.4061808190732,21491.0969325153,33516.5104294479,8,23,49,174
953,15.5781724610598,12342.6432318993,13518.4291710388,7,32,90,174
1028,16.1795565575064,12587.7723735409,13760.2791828794,2,21,77,174
724,13.5781105488817,16877.296961326,8723.75828729282,5,29,95,174
724,13.5781105488817,16906.7127071823,8760.57320441989,6,36,99,174
362,9.60117404481482,21147.1878453039,33604.0690607735,3,15,50,173
1045,16.312788383647,21648.209569378,33819.4535885167,4,20,55,173
1129,16.9557509182342,12292.2878653676,13444.210806023,7,31,82,173
